gene_id,gene_name
642,NDC1
643,YIPF1
644,HSPB11
645,LRRC42
646,TMEM59
647,TCEANC2
648,CYB5RL
649,MRPL37
650,SSBP3
651,ACOT11
652,FAM151A
653,MROH7
654,TTC4
655,PARS2
656,DHCR24
657,AC096536.3
658,USP24
659,MIR4422HG
660,AL603840.1
661,AC119674.1
662,PLPP3
663,PRKAA2
664,DAB1
665,OMA1
666,AL035411.3
667,TACSTD2
668,MYSM1
669,JUN
670,LINC01135
671,LINC02777
672,AC093425.1
673,FGGY
674,AL035416.1
675,HOOK1
676,CYP2J2
677,C1orf87
678,LINC01748
679,AC099792.1
680,NFIA
681,NFIA-AS2
682,NFIA-AS1
683,TM2D1
684,AC099791.2
685,PATJ
686,L1TD1
687,KANK4
688,USP1
689,DOCK7
690,ANGPTL3
691,AC103923.1
692,ATG4C
693,LINC01739
694,LINC00466
695,FOXD3-AS1
696,FOXD3
697,ALG6
698,ITGB3BP
699,EFCAB7
700,DLEU2L
701,PGM1
702,ROR1
703,ROR1-AS1
704,CACHD1
705,RAVER2
706,JAK1
707,LINC01359
708,AK4
709,DNAJC6
710,AL139294.1
711,LEPROT
712,LEPR
713,PDE4B
714,AL590783.1
715,SGIP1
716,AL139147.1
717,TCTEX1D1
718,WDR78
719,MIER1
720,SLC35D1
721,IL23R
722,IL12RB2
723,SERBP1
724,GADD45A
725,GNG12
726,GNG12-AS1
727,DIRAS3
728,WLS
729,RPE65
730,AL033530.1
731,LRRC7
732,LRRC40
733,SRSF11
734,ANKRD13C
735,HHLA3
736,CTH
737,PTGER3
738,ZRANB2-AS1
739,ZRANB2
740,ZRANB2-AS2
741,NEGR1
742,AL513166.1
743,AL583808.1
744,LINC02797
745,LRRIQ3
746,FPGT
747,TNNI3K
748,AC093158.1
749,ERICH3
750,CRYZ
751,TYW3
752,SLC44A5
753,ACADM
754,RABGGTB
755,MSH4
756,ST6GALNAC3
757,LINC02567
758,ST6GALNAC5
759,AL035409.1
760,PIGK
761,AC093433.2
762,AK5
763,AC118549.1
764,USP33
765,MIGA1
766,NEXN
767,FUBP1
768,DNAJB4
769,GIPC2
770,PTGFR
771,IFI44L
772,IFI44
773,ADGRL4
774,LINC02792
775,AC099671.1
776,LINC01781
777,ADGRL2
778,AC117944.1
779,AL157944.1
780,LINC01362
781,AC116099.1
782,LINC01725
783,TTLL7
784,TTLL7-IT1
785,AL359504.2
786,PRKACB
787,SAMD13
788,RPF1
789,GNG5
790,SPATA1
791,CTBS
792,SSX2IP
793,LPAR3
794,MCOLN2
795,WDR63
796,MCOLN3
797,SYDE2
798,C1orf52
799,BCL10
800,AL078459.1
801,DDAH1
802,AC092807.3
803,CCN1
804,ZNHIT6
805,COL24A1
806,LINC02795
807,ODF2L
808,CLCA4-AS1
809,AL049597.2
810,SH3GLB1
811,SELENOF
812,HS2ST1
813,LINC01140
814,LMO4
815,PKN2-AS1
816,AL445438.1
817,PKN2
818,GTF2B
819,KYAT3
820,RBMXL1
821,GBP3
822,GBP1
823,GBP2
824,AC104459.1
825,GBP4
826,GBP5
827,AL596214.1
828,LRRC8B
829,LRRC8C-DT
830,LRRC8C
831,LRRC8D
832,ZNF326
833,LINC02609
834,LINC01763
835,ZNF644
836,HFM1
837,CDC7
838,TGFBR3
839,BRDT
840,EPHX4
841,BTBD8
842,AC104836.1
843,C1orf146
844,GLMN
845,RPAP2
846,EVI5
847,RPL5
848,DIPK1A
849,MTF2
850,TMED5
851,CCDC18
852,CCDC18-AS1
853,DR1
854,FNBP1L
855,BCAR3
856,AL049796.1
857,DNTTIP2
858,GCLM
859,ABCA4
860,ARHGAP29
861,ABCD3
862,F3
863,SLC44A3
864,CNN3
865,AC105942.1
866,ALG14
867,AC095033.1
868,TLCD4
869,AC092802.1
870,RWDD3
871,LINC02607
872,PTBP2
873,DPYD
874,DPYD-AS1
875,MIR137HG
876,BX005019.1
877,LINC01776
878,SNX7
879,PLPPR5
880,AL445433.2
881,PLPPR4
882,LINC01708
883,PALMD
884,FRRS1
885,AGL
886,SLC35A3
887,MFSD14A
888,AC093019.2
889,SASS6
890,TRMT13
891,LRRC39
892,DBT
893,AL445928.2
894,RTCA-AS1
895,RTCA
896,CDC14A
897,AL589990.1
898,VCAM1
899,EXTL2
900,AC104506.1
901,SLC30A7
902,DPH5
903,AC093157.1
904,S1PR1
905,LINC01709
906,OLFM3
907,COL11A1
908,AC095032.1
909,RNPC3
910,AMY2B
911,LINC01676
912,AL355306.2
913,PRMT6
914,NTNG1
915,VAV3
916,LINC02785
917,SLC25A24
918,FAM102B
919,HENMT1
920,AL160171.1
921,PRPF38B
922,STXBP3
923,AKNAD1
924,GPSM2
925,CLCC1
926,WDR47
927,TAF13
928,AL356488.3
929,TMEM167B
930,AL356488.2
931,KIAA1324
932,SARS
933,CELSR2
934,PSRC1
935,SORT1
936,PSMA5
937,SYPL2
938,ATXN7L2
939,CYB561D1
940,AMIGO1
941,GPR61
942,GNAI3
943,AMPD2
944,GSTM4
945,GSTM2
946,GSTM1
947,GSTM5
948,GSTM3
949,CSF1
950,AHCYL1
951,STRIP1
952,AL160006.1
953,SLC6A17
954,KCNC4
955,RBM15-AS1
956,RBM15
957,LAMTOR5-AS1
958,SLC16A4
959,AL355488.1
960,LAMTOR5
961,KCNA2
962,AL365361.1
963,CD53
964,LRIF1
965,DRAM2
966,CEPT1
967,OVGP1
968,AL390195.2
969,WDR77
970,ATP5PB
971,C1orf162
972,TMIGD3
973,RAP1A
974,INKA2
975,INKA2-AS1
976,DDX20
977,KCND3
978,LINC01750
979,AL445426.1
980,CTTNBP2NL
981,WNT2B
982,ST7L
983,CAPZA1
984,MOV10
985,RHOC
986,PPM1J
987,TAFA3
988,LINC01357
989,SLC16A1
990,SLC16A1-AS1
991,AL390242.1
992,LRIG2-DT
993,LRIG2
994,MAGI3
995,PHTF1
996,RSBN1
997,AL137856.1
998,PTPN22
999,AP4B1-AS1
1000,BCL2L15
1001,AP4B1
1002,HIPK1
1003,OLFML3
1004,SYT6
1005,TRIM33
1006,BCAS2
1007,DENND2C
1008,NRAS
1009,CSDE1
1010,SIKE1
1011,SYCP1
1012,TSPAN2
1013,LINC01765
1014,NGF-AS1
1015,NGF
1016,VANGL1
1017,NHLH2
1018,SLC22A15
1019,AL365318.1
1020,MAB21L3
1021,ATP1A1
1022,ATP1A1-AS1
1023,LINC01762
1024,AL390066.1
1025,CD58
1026,IGSF3
1027,PTGFRN
1028,CD101
1029,AL445231.1
1030,TTF2
1031,TRIM45
1032,MAN1A2
1033,GDAP2
1034,WDR3
1035,SPAG17
1036,TBX15
1037,WARS2
1038,WARS2-IT1
1039,WARS2-AS1
1040,AL359915.1
1041,LINC00622
1042,ZNF697
1043,PHGDH
1044,NOTCH2
1045,SEC22B
1046,NBPF26
1047,LINC00623
1048,AC244453.3
1049,SRGAP2C
1050,LINC02798
1051,AL592494.2
1052,AC239800.2
1053,LINC02591
1054,HIST2H3PS2
1055,LINC02802
1056,NBPF15
1057,LINC01632
1058,FP700111.1
1059,SRGAP2B
1060,NBPF20
1061,GPR89A
1062,CD160
1063,RNF115
1064,POLR3C
1065,NUDT17
1066,PIAS3
1067,ANKRD35
1068,ITGA10
1069,PEX11B
1070,RBM8A
1071,LIX1L-AS1
1072,LIX1L
1073,ANKRD34A
1074,POLR3GL
1075,TXNIP
1076,LINC01719
1077,NBPF10
1078,NOTCH2NLA
1079,AC245407.2
1080,NBPF12
1081,PRKAB2
1082,AC242426.2
1083,FMO5
1084,CHD1L
1085,LINC00624
1086,BCL9
1087,ACP6
1088,GJA5
1089,GPR89B
1090,NBPF11
1091,LINC02805
1092,AC239809.3
1093,LINC01138
1094,AC245100.1
1095,AC245100.6
1096,NBPF14
1097,PDE4DIP
1098,NBPF9
1099,AC245297.3
1100,AC245297.2
1101,NOTCH2NLC
1102,NBPF19
1103,FCGR1A
1104,HIST2H2BF
1105,AC239868.1
1106,HIST2H2BE
1107,HIST2H2AC
1108,BOLA1
1109,SV2A
1110,SF3B4
1111,MTMR11
1112,OTUD7B
1113,AC244033.2
1114,VPS45
1115,PLEKHO1
1116,ANP32E
1117,CA14
1118,APH1A
1119,C1orf54
1120,CIART
1121,MRPS21
1122,PRPF3
1123,RPRD2
1124,TARS2
1125,ECM1
1126,FALEC
1127,AL356356.1
1128,ADAMTSL4
1129,ADAMTSL4-AS1
1130,MCL1
1131,ENSA
1132,GOLPH3L
1133,HORMAD1
1134,CTSS
1135,CTSK
1136,ARNT
1137,SETDB1
1138,CERS2
1139,ANXA9
1140,MINDY1
1141,PRUNE1
1142,BNIPL
1143,C1orf56
1144,CDC42SE1
1145,MLLT11
1146,GABPB2
1147,AL592424.1
1148,SEMA6C
1149,SCNM1
1150,LYSMD1
1151,VPS72
1152,PIP5K1A
1153,PSMD4
1154,ZNF687-AS1
1155,ZNF687
1156,PI4KB
1157,RFX5
1158,SELENBP1
1159,PSMB4
1160,POGZ
1161,CGN
1162,TUFT1
1163,SNX27
1164,CELF3
1165,MRPL9
1166,TDRKH
1167,TDRKH-AS1
1168,AL589765.6
1169,LINGO4
1170,C2CD4D-AS1
1171,THEM5
1172,THEM4
1173,AL450992.2
1174,S100A10
1175,AL450992.1
1176,S100A11
1177,FLG-AS1
1178,HRNR
1179,FLG
1180,LCE2A
1181,SMCP
1182,S100A6
