Dataset,Cell_or_nuclei,donor_ID,SpinalRegion,Level,Atlas_annotation,Sex,Age,Platform,cell_id
U19_HMS,Nuclei,G-282,Unknown,Unk,Ab-LTMR.NSG2,unassigned,unassigned,10x 3' RNA,130
U19_HMS,Nuclei,G-210,Unknown,Unk,A-LTMR.TAC3,unassigned,unassigned,10x 3' RNA,131
U19_HMS,Nuclei,unassigned,Unknown,Unk,C-NP.MRGPRX1/GFRA2,unassigned,unassigned,10x 3' RNA,132
U19_HMS,Nuclei,G-181,Unknown,Unk,A-PEP.KIT,unassigned,unassigned,10x 3' RNA,133
U19_HMS,Nuclei,unassigned,Unknown,Unk,A-PEP.SCGN/ADRA2C,unassigned,unassigned,10x 3' RNA,134
U19_HMS,Nuclei,G-210,Unknown,Unk,Ab-LTMR.NSG2,unassigned,unassigned,10x 3' RNA,135
U19_HMS,Nuclei,G-210,Unknown,Unk,A-PEP.KIT,unassigned,unassigned,10x 3' RNA,136
U19_HMS,Nuclei,unassigned,Unknown,Unk,C-NP.MRGPRX1/GFRA2,unassigned,unassigned,10x 3' RNA,137
U19_HMS,Nuclei,unassigned,Unknown,Unk,A-PEP.KIT,unassigned,unassigned,10x 3' RNA,138
U19_HMS,Nuclei,G-210,Unknown,Unk,A-PEP.KIT,unassigned,unassigned,10x 3' RNA,139
U19_HMS,Nuclei,G-210,Unknown,Unk,A-PEP.NTRK3/S100A16,unassigned,unassigned,10x 3' RNA,140
U19_HMS,Nuclei,unassigned,Unknown,Unk,A-PEP.SCGN/ADRA2C,unassigned,unassigned,10x 3' RNA,141
U19_HMS,Nuclei,unassigned,Unknown,Unk,A-Propr.HAPLN4,unassigned,unassigned,10x 3' RNA,142
U19_HMS,Nuclei,G-210,Unknown,Unk,Ab-LTMR.LGI2,unassigned,unassigned,10x 3' RNA,143
U19_HMS,Nuclei,G-203,Unknown,Unk,A-PEP.NTRK3/S100A16,unassigned,unassigned,10x 3' RNA,144
U19_HMS,Nuclei,G-210,Unknown,Unk,A-Propr.HAPLN4,unassigned,unassigned,10x 3' RNA,145
U19_HMS,Nuclei,G-210,Unknown,Unk,C-NP.SST,unassigned,unassigned,10x 3' RNA,146
U19_HMS,Nuclei,G-210,Unknown,Unk,A-PEP.SCGN/ADRA2C,unassigned,unassigned,10x 3' RNA,147
U19_HMS,Nuclei,G-210,Unknown,Unk,Ab-LTMR.ETV1,unassigned,unassigned,10x 3' RNA,148
U19_HMS,Nuclei,G-134,Unknown,Unk,A-PEP.SCGN/ADRA2C,unassigned,unassigned,10x 3' RNA,149
U19_HMS,Nuclei,G-210,Unknown,Unk,A-Propr.PCDH8,unassigned,unassigned,10x 3' RNA,150
U19_HMS,Nuclei,unassigned,Unknown,Unk,Ab-LTMR.NSG2,unassigned,unassigned,10x 3' RNA,151
U19_HMS,Nuclei,G-210,Unknown,Unk,A-Propr.HAPLN4,unassigned,unassigned,10x 3' RNA,152
U19_HMS,Nuclei,unassigned,Unknown,Unk,C-NP.SST,unassigned,unassigned,10x 3' RNA,153
U19_HMS,Nuclei,,Unknown,Unk,A-Propr.HAPLN4,unassigned,unassigned,10x 3' RNA,154
U19_HMS,Nuclei,G-210,Unknown,Unk,Ab-LTMR.ETV1,unassigned,unassigned,10x 3' RNA,155
U19_HMS,Nuclei,unassigned,Unknown,Unk,Ab-LTMR.ETV1,unassigned,unassigned,10x 3' RNA,156
U19_HMS,Nuclei,G-251,Unknown,Unk,A-PEP.NTRK3/S100A16,unassigned,unassigned,10x 3' RNA,157
U19_HMS,Nuclei,G-210,Unknown,Unk,Ab-LTMR.NSG2,unassigned,unassigned,10x 3' RNA,158
U19_HMS,Nuclei,unassigned,Unknown,Unk,C-PEP.TAC1/CACNG5,unassigned,unassigned,10x 3' RNA,159
U19_HMS,Nuclei,G-210,Unknown,Unk,Ab-LTMR.ETV1,unassigned,unassigned,10x 3' RNA,160
U19_HMS,Nuclei,G-210,Unknown,Unk,Ab-LTMR.CCKAR,unassigned,unassigned,10x 3' RNA,161
U19_HMS,Nuclei,G-210,Unknown,Unk,A-PEP.SCGN/ADRA2C,unassigned,unassigned,10x 3' RNA,162
U19_HMS,Nuclei,G-210,Unknown,Unk,Ab-LTMR.ETV1,unassigned,unassigned,10x 3' RNA,163
U19_HMS,Nuclei,unassigned,Unknown,Unk,A-PEP.KIT,unassigned,unassigned,10x 3' RNA,164
U19_HMS,Nuclei,G-210,Unknown,Unk,A-PEP.NTRK3/S100A16,unassigned,unassigned,10x 3' RNA,165
